stage-name,dow,bname,gname,gender,dob,dod,role type,picture pointer,notes,award,,,,
John Justin,1940-1983,Justin,John,M,1917,199x,R:lead,Br,,,,,,
Suzanne Kaaren,,,,M,[1],199x,RU:,Un,,,,,,
Wolf Kahler,,,,M,[1],199x,RU:,Un,,,,,,
Florence Kahn,1935,Kahn,Florence,F,[1],199x,RU:,Un,,,,,,
Jonathan Kahn,,,,M,[1],199x,RU:,Un,,,,,,
Madeleine Kahn,1972-1983,Kahn,Madeleine,F,1942,199x,R:comic,Am,,,,,,
Toni Kalem,,,,,[1],199x,RU:,Un,,,,,,
Helen Kallianoites,1970,Kallianoites,Helena,F,[1],199x,R:neuroticx,,,,,,,
Ida Kaminska,1966-1970,,,F,,1980,RU:,Un,,,,,,
Anna Kanakis,,,,M,[1],199x,RU:,Un,,,,,,
Steve Kanaly,,,,M,[1],199x,RU:,Un,,,,,,
Byron Kane,,,,M,[1,6],199x,RU:,Un,,,,,
Carol Kane,1977-1982,Kane,Carol,F,1952,199x,R:lead,Am,,,,,,
Helen Kane,1929-1930,Schroeder,Helen,F,1904,1966,R:singer,Am,,,,,,
Jimmy Kane,,,,M,[1],199x,RU:,Un,,,,,,
Michael Kane,,,,M,[1],199x,RU:,Un,,,,,,
Gabe Kaplan,,,,,[1],199x,RU:,Un,,,,,,
Marvin Kaplin,1950-1982,Kaplin,Marvin,M,1924,199x,R:owlish,Am,,,,,,
Shashi Kapoor,1970-1987,Kapoor,Sashi,,[1],199x,RU:,Un,,,,,,
Valerie Kaprisky,,,,F,[1],199x,RU:,Un,,,,,,
Frank Kaquitts,,,,M,[1],199x,RU:,Un,,,,,,
Anna Karina,1961-1980,Beyer,Hanne Karin,F,1940,199x,R:lead,Da,,,,,,
John Karlen,1970-1990,Karlen,John,M,1935,199x,R:weird valet,Am,,,,,,
Miriam Karlin,1955-1975,Karlin,Miriam,F,1925,199x,R:rasping-voiced,Br,,,,,,
Boris Karloff,1916-1970,Pratt,William Henry,M,1887,1969,R:sinister,Br,,,,,,
Roscoe Karns,1928-1961,Karns,Roscoe,M,1893,1970,R:hard-boiled comedy,Am,,,,,,
Alex Karras,1972-1983,Karras,Alex,M,1935,199x,R:heavyweight character,Am,,,,,,
Kevin Karson,,,,M,[1],199x,RU:,Un,,,,,,
Harold Kasket,1951-1966,Kasket,Harold,M,1916,199x,R:character,Br,,,,,,
Peter Kastner,1965-1970,Kastner,Peter,M,1944,199x,RU:,Ca,,,,,,
Kurt Kasznar,1951-1967,Kac,Isser,M,1913,1979,R:chubby,Os,,,,,,
Kurt Katch,1951-1969,Kac,Isser,M,1896,1958,R:bald,Po,,,,,,
Rosanne Katon,,,,,[1],199x,RU:,Un,,,,,,
William Katt,1976-1982,Katt,William,M,1955,199x,R:lead,Am,,,,,,
Daniel Kauffman,,,,M,[1],199x,RU:,Un,,,,,,
Andy Kaufman,,,,M,[1],199x,RU:,Un,,,,,,
Joseph Kaufmann,,,,M,[1],199x,RU:,Un,,,,,,
Dorrie Kavanaugh,,,,F,[1],199x,RU:,Un,,,,,,
Julie Kavner,1992,Kavner,Julie,F,[1],199x,RU:,Am,,,,,,
Charles Kay,,,,M,[1],199x,RU:,Un,,,,,,
Diane Kay,,,,F,[1],199x,RU:,Un,,,,,,
Caren Kaye,,,,F,[1],199x,RU:,Un,,,,,,
Danny Kaye,1944-1976,Kaminsky,David Daniel,M,1913,1987,R:ebullient,Am,,,,,,
Stubby Kaye,1955-1968,Kaye,Stubby,M,1918,1997,R:rotund comic,Am,,,,,,
Elia Kazan,1940-1941,Kazanjoglous,Elia,M,1909,199x,R:distinguished,Gr-turk,,,,,,
Lainie Kazan,,,,F,[1],199x,RU:,Un,,,,,,
James Keach,1975-1983,Keach,James,M,,199x,R:cowboy,Am,,,,,,
Stacy Keach,1968-1983,Keach,Stacy,M,1941,199x,R:general purpose,Am,,,,,,
Robert Emmett Keane,1931-1956,Keane,Robert Emmett,M,1883,1981,R:toothbrush-moustached character,Am,,,,,,
Buster Keaton,1917-1966,Keaton,Joseph Francis,M,1895,1966,R:clown,Am,,,,,,
Diane Keaton,1970-1984,Hall,Diane,F,1949,199x,R:round-faced,Am,,,,,,
Michael Keaton,1982-1983,Keaton,Michael,M,1952,199x,R:diffident,Am,,,,,,
Steven Keats,1974-1982,Keats,Steven,M,1945,199x,R:general purpose,Am,,,,,,
Lila Kedrova,1953-1979,Kedrova,Lila,F,1918,199x,R:flamboyant,Ru,,,,,,
Howard Keel,1948-1981,Leek,Harold,M,1917,199x,R:stalwart lead,Am,,,,,,
Ruby Keeler,1933-1970,Keeler,Ethel,F,1909,1993,R:petite dancer,Am,,,,,,
Geoffrey Keen,1950-1979,Keen,Geoffrey,M,1916,199x,R:incisive character,Br,,,,,,
Malcolm Keen,1926-1960,Keen,Malcolm,M,1888,1970,R:character,Br,,,,,,
Tom Keene,1928-1956,Duryea,George,M,1896,1963,R:western star,Am,,,,,,
Jack Kehoe,,,,M,[1],199x,RU:,Un,,,,,,
Kishi Keiko,,,,F,[1],199x,RU:,Un,,,,,,
Andrew Keir,1950-1982,Keir,Andrew,M,1926,199x,R:character, stern,Br; Scots,,,,,
Harvey Keitel,1973-1983,Keitel,Harvey,M,1947,199x,RU:,Am,,,,,,
Brian Keith,1952-1983,Keith,Robert jr.,M,1921,199x,R:easy-going,Am,,,,,,
David Keith,,,,M,[1],199x,RU:,Un,,,,,,
Ian Keith,1924-1956,Ross,Keith,M,1899,1960,R:character,Am,,,,,,
Robert Keith,1947-1961,Keith,Robert,M,1896,1966,R:character,Am,,,,,,
Cecil Kellaway,1939-1970,Kellaway,Cecil,M,1891,1973,R:rogue,SA,,,,,,
Dorothy Keller,,,,F,[1],199x,RU:,Un,,,,,,
Helen Keller,1919-1919,Keller,Helen,F,1881,1968,R:blind, deaf,Am,,,,,
Marthe Keller,1976-1982,Keller,Marthe,F,1945,199x,R:lead,Zw,,,,,,
Und,R:Australian swimming star:  Kellerman,,,,,,,,,,,,,
Annette Kellerman,1914-1918,Kellerman,Annette,F,1888,1975,R:swimmer,Au,,,,,,
Sally Kellerman,1965-1980,Kellerman,Sally,F,1941,199x,R:lead,Am,,,,,,
Susan Kellerman,,,,F,[1],199x,RU:,Un,,,,,,
DeForest Kelley,1947-1979,Kelley,DeForest,M,1920,199x,R:general purpose,Am,,,,,,
Mike Kellin,1952-1981,Kellin,Mike,M,1922,1983,RU:,Am,,,,,,
Emmett Kelly,1951-1958,Kelly,Emmett,M,1895,1979,R:clown,Am,,,,,,
Fred Kelly,1954,Kelly,Frederick,M,,199x,R:dancer,Am,,,,,,
Gene Kelly,1942-1980,Kelly,Eugene Curran,M,1912,1982,R:breezy dancer,Am,,,,,,
Grace Kelly,1951-1956,Kelly,Princess Grace of Monaco,F,1928,1982,R:cool inner warmth,Am,,,,,,
Jeanette Kelly,,,,F,[1],199x,RU:,Un,,,,,,
Jim Kelly,,,,M,[1],199x,RU:,Un,,,,,,
Moira Kelly,1991-1994,Kelly,Moira,F,1969,199x,R:spunky,Am,,,,,,
Nancy Kelly,1938-1973,Kelly,Nancy,F,1921,199x,R:lead,Am,,,,,,
Patsy Kelly,1933-1979,Kelly,Patsy,F,1910,1981,R:dumpy,Am,,,,,,
Paul Kelly,1920-1957,Kelly,Paul,M,1899,1956,R:lead,Am,,,,,,
Paula Kelly,1969-1976,Kelly,Paula,F,,199x,R:tall, elegant, black,Am,,,,
Sharon Kelly,,,,F,[1],199x,RU:,Un,,,,,,
Tommy Kelly,1938-1938,Kelly,Tommy,M,1928,199x,R:child,Am,,,,,,
Moultrie Kelsall,1949-1960,Kelsall,Moultrie,M,1901,1980,R:character,Br ; Scots,,,,,,
Fred Kelsey,1921-1954,Kelsey,Fred,M,1884,1961,R:lugubrious sheriff,Am,,,,,,
Pert Kelton,1929-1969,Kelton,Pert,M,1907,1968,R:character comedienne,Am,,,,,,
Gary Kemp,1990,Kemp,Gary,M,1959,199x,R:rocker,Br,,,,,,
Jeremy Kemp,1965-1983,Walker,Edmund,M,1934,199x,R:lead,Br,,,,,,
Martin Kemp,1990,Kemp,Martin,M,1961,199x,R:rocker,Br,,,,,,
Rachel Kempson,1963-1966,,,F,,199x,RU:,Un,,,,,,
Joan KempWelch,1935-1941,Kemp-Welch,Joan,M,1906,199x,R:character, shy girls,Br,,,,,
Takakura Ken,,,,,[1],199x,RU:,Un,,,,,,
Cyrus O. Kendall,1936-1945,Kendall,Cyrus,M,1898,1953,R:cigar-chewing heavy,Am,,,,,,
Henry Kendall,1921-1955,Kendall,Henry,M,1887,1962,R:revue star,Br,,,,,,
Kay Kendall,1944-1959,McCarthy,Justine,F,1926,1959,R:stylish,Br,,,,,,
Suzy Kendall,1967-1973,Harrison,Frieda,F,1943,199x,R:lead,Br,,,,,,
Tony Kendall,,,,M,[1],199x,RU:,Un,,,,,,
Alexa Kenin,,,,F,[1],199x,RU:,Un,,,,,,
Arthur Kennedy,1940-1978,Kennedy,Arthur,M,1914,1990,R:lead,Am,,,,,,
Douglas Kennedy,1940-1959,Douglas,Keith,M,1915,1973,R:lead, character,Am,,,,,
Edgar Kennedy,1915-1948,Kennedy,Edgar,M,1890,1948,R:explosive, comic cop,Am,,,,,
George Kennedy,1960-1981,Kennedy,George,M,1925,1998x,R:menacing,Am,,,,,,
Gerard Kennedy,,,,M,[1],199x,RU:,Un,,,,,,
Jayne Kennedy,,,,F,[1],199x,RU:,Un,,,,,,
Merna Kennedy,1928-1934,Kahler,Maude,F,1908,1944,R:lead,Am,,,,,,
Leon Isaac Kennedy,,,,M,[1],199x,RU:,Un,,,,,,
James Kenney,1947-1958,Kenney,James,M,1930,199x,R:juvenile actor,Br,,,,,,
Sean Kenney,,,,M,[1],199x,RU:,Un,,,,,,
Jill Kennington,,,,F,[1],199x,RU:,Un,,,,,,
Patsy Kensit,1990-1993,Kensit,gn,F,1969,199x,R:saucy, musician,,,,,,
Dorothea Kent,,,,F,[1],199x,RU:,Un,,,,,,
Jean Kent,1935-1960,Field,Joan,F,1921,199x,R:lead,Br,,,,,,
Keneth Kent,1939-1940,Kent,Keneth,M,1882,1963,RU:,Br,,,,,,
Doris Kenyon,1916-1964,Kenyon,Doris,F,,199x,R:silent-screen lead,Am,,,,,,
Bill Kerr,,,,M,[1],199x,RU:,Un,,,,,,
Deborah Kerr,1940-1969,Kerr-Trimmer,Deborah,F,1921,1995+,R:proper,GB (Scottish),,,,,,
J. Herbert Kerr jr.,,,,M,[1],199x,RU:,Un,,,,,,
John Kerr,1955-1962,Kerr,John,M,1931,199x,R:lead,Am,,,,,,
Linda Kerridge,,,,F,[1],199x,RU:,Un,,,,,,
J. M. Kerrigan,1935-1956,Kerrigan,J.M.,M,1885,1964,R:character,Ir,,,,,,
Norman Kerry,1916-1931,Kaiser,Arnold,M,1889,1956,R:lead,Am,,,,,,
Kathy Kersh,,,,F,[1],199x,RU:,Un,,,,,,
Brian Kerwin,,,,M,[1],199x,RU:,Un,,,,,,
Lance Kerwin,,,,M,[1],199x,RU:,Un,,,,,,
Jillian Kessner,,,,F,[1],199x,RU:,Un,,,,,,
Sara Kestelman,,,,F,[1],199x,RU:,Un,,,,,,
Evelyn Keyes,1938-1956,Keyes,Evelyn,F,1919,199x,R:dancer, lead,Am,,,,,
Mark Keyloun,,,,M,[1],199x,RU:,Un,,,,,,
Persis Khambatta,1979-1982,Khambatta,Persis,F,1950,199x,R:lead,In,,,,,,
Chaka Khan,,,,,[1],199x,RU:,Un,,,,,,
Guy Kibbee,1931-1949,Kibbee,Guy,M,1882,1956,R:genial,Am,,,,,,
Michael Kidd,1953-1979,Greenwald,Milton,M,,199x,R:dancer,Am,,,,,,
Margot Kidder,1969-1983,Kidder,Margot,F,1948,199x,R:lead,Ca,,,,,,
Nicole Kidman,1990,Kidman,Nicole,F,1967,199x,R:ty,Au,,,,,,
Dead End Kids,1937,n.a.,n.a.,G,1937,199x,R:young hooligans,Am,,,,,,
East Side Kids,1939,n.a.,n.a.,G,1939,199x,R:young hooligans,Am,,,,,,
Richard Kiel,1962-1983,Kiel,Richard,M,1939,199x,R:huge,Am,,,,,,
Wolfgang Kieling,1936-1972,Kieling,Wolfgang,M,1924,199x,R:character,Ge,,,,,,
Percy Kilbride,1933-1959,Kilbride,Percy,M,1888,1964,R:wily hayseed roles,Am,,,,,,
Terry Kilburn,1938-1958,Kilburn,Terry,M,1926,199x,R:boy actor,Br,,,,,,
Richard Kiley,1951-1981,Kiley,Richard,M,1922,199x,R:general purpose,Am,,,,,,
Victor Kilian,1932-1976,Kilian,Victor,M,1897,1979,R:charactor,Am,,,,,,
Val Kilmer,1990-1994,Kilmer,Val,M,1959,199x,R:ty,Am,,,,,,
Stanley Kim,1958-1983,Reid,Patricia,F,1921,199x,RU:,Am,,,,,,
Bruce Kimmel,,,,M,[1],199x,RU:,Un,,,,,,
Anthony Kimmins,1933-1934,Kimmins,Anthony,M,1901,1964,R:light comedy,Br,,,,,,
Stephen Kinanju,,,,M,[1],199x,RU:,Ke,,,,,,
Adrienne King,,,,M,[1],199x,RU:,Un,,,,,,
Alan King,1955-1983,Kniberg,Irwin,M,1924,199x,R:cabaret comedian,Am,,,,,,
Andrea King,1944-1969,Barry,Georgetta,M,1915,199x,R:lead,Fr-Am,,,,,,
Anita King,1914-1914,King,Anita,F,1889,1963,R:silent lead,Am,,,,,,
Bernard King,,,,M,[1],199x,RU:,Un,,,,,,
Charles King,1928-1930,King,Charles,M,1889,1944,R:song and dance,Am,,,,,,
Charles King,1932-1943,King,Charles,M,1899,1957,R:western heavy,Am,,,,,,
Mabel King,,,,F,[1],199x,RU:,Un,,,,,,
Pamela King,,,,F,[1],199x,RU:,Un,,,,,,
Perry King,1971-1982,King,Perry,M,1948,199x,R:lead,Am,,,,,,
Stephen King,,King,Stephen,M,1940,199x,RU:,Am,,,,,,
Walter Woolf King,1935-1958,King,Walter Woolf,M,1899,199x,R:villain roles,Am,,,,,,
Zalman King,,,,M,[1],199x,RU:,Un,,,,,,
Walter Kingsford,1935-1958,Kingsford,Walter,M,1882,1958,R:kindly professional role,Br,,,,,,
Ben Kingsley,1982,Banji,Krishna,M,1944,1998x,R:character,Anglo-In,,,,,,
Melinda Kinnaman,,,,F,[1,6],199x,RU:,Un,,,,,
Greg Kinnear,1997,Kinnear,Greg,M,1963,199x,RU:,Ct,,,,,,
Roy Kinnear,1962-1982,Kinnear,Roy,M,1934,1988,R:bulbous,Br,,,,,,
Leonid Kinskey,1932-1955,Kinskey,Leonid,M,1903,1992+,R:lanky, intense, dumb revolutionary,Ru,,,,
Klaus Kinski,1954-1984,Nakszynski,Claus Gunther,M,1926,1991,R:intense,Ge,,,,,,
Nastassia Kinsky,1976-1984,Kinski,Nastassia,F,1959,199x,R:slinky,Ge,,,,,,
Lee Kinsolving,1960-1961,Kinsolving,Lee,F,1938,1974,R:teenage lead,Am,,,,,,
Bruno Kirby,,,,M,[1],199x,RU:,Un,,,,,,
Phyllis Kirk,1950-1959,Kirkegaard,Phyllis,F,1926,199x,R:lead,Am,,,,,,
Tommy Kirk,1957-1965,Kirk,Tommy,M,1941,199x,R:juvenile lead,Am,,,,,,
Al Kirkeby,,,,M,[1],199x,RU:,Un,,,,,,
Sally Kirkland,,,,F,[1],199x,RU:,Un,,,,,,
James Kirkwood,1921,bn,gn,M,,11989,R:sr,Ct,,,,,,
Oreste Kirkop,1955-1955,Kirkop,Oreste,M,,199x,R:operatic singer,Maltese,,,,,,
Terry Kiser,,,,,[1],199x,RU:,Un,,,,,,
Tawny Kitaen,,,,F,[1],199x,RU:,Un,,,,,,
Michael Kitchen,,,,M,[1],199x,RU:,Un,,,,,,
Eartha Kitt,1954-1982,Kitt,Eartha,F,1928,199x,R:vibrant, slinky singer,Am,,,,,
John Kitzmiller,1946-1965,Kitzmiller,John,M,1913,1965,R:Creole cabaret singer,Am,,,,,,
Alf Kjellin,1944-1970,Kjellin,Alf,M,1920,199x,RU:,Sw,,,,,,
Bodil Kjer,,,,M,[1],199x,RU:,Un,,,,,,
Robert Klein,,,,M,[1],199x,RU:,Un,,,,,,
Rudolf KleinRogge,1921-1942,Klein-Rogge,Rudolf,M,1888,1955,R:character,Ge,,,,,,
Werner Klemperer,1956-1981,Klemperer,Werner,M,1919,199x,R:nazi agent,Ge-Am,,,,,,
Kevin Kline,,,,M,[1],199x,RU:,Un,,,,,,
Val Kline,,,,M,[1],199x,RU:,Un,,,,,,
Debra Klose,,,,,[1],199x,RU:,Un,,,,,,
Jack Klugman,1956-1976,Klugman,Jack,M,1922,199x,R:lean, wimp,Am,,,,,
Evelyn Knapp,1931-1943,Knapp,Evelyn,F,1908,1981,R:lead,Am,,,,,,
David Knell,,,,M,[1],199x,RU:,Un,,,,,,
Evel Knievel,,,,M,[1],199x,RU:,Un,,,,,,
David Knight,1955-1963,Mintz,David,M,1927,199x,R:lead,Am,,,,,,
Esmond Knight,1931-1970,Knight,Esmond,M,1906,1987,R:soldier,Br; Welsh,,,,,,
Sandra Knight,,,,F,[1],199x,RU:,Un,,,,,,
Shirley Knight,1959-1982,Knight Hopkins,Shirley,F,1937,199x,R:lead,Am,,,,,,
Ted Knight,1960,,,M,[1],1986,RU:,Un,,,,,,
Don Knotts,1960-1981,Knotts,Don,M,1924,199x,R:`hayseed' comedian,Am,,,,,,
Patric Knowles,1934-1973,Knowles,Reginald,M,1911,199x,R:light lead,Br,,,,,,
Alexander Knox,1938-1983,Knox,Alexander,M,1907,199x,R:quiet-spoken,Ca,,,,,,
Walter Koenig,,,,M,[1],199x,RU:,Un,,,,,,
Fred Kohler sr.,1919-1938,Kohler sr.,Fred,M,1889,1938,R:western badman,Am,,,,,,
Clarence Kolb,1938-1957,Kolb,Clarence,M,1874,1964,R:explosive executive,Am,,,,,,
Henry Kolker,1915-1947,Kolker,Henry,M,1874,1947,R:heavy lawyer,Am,,,,,,
Anna Konstam,,,,F,[1],199x,RU:,Un,,,,,,
Phyllis Konstam,1928-1960,Konstam,Phyllis,F,1907,1976,R:heroine,Br,,,,,,
Leopoldine Konstatin,,,,F,[1],199x,RU:,Un,,,,,,
Keystone Kops,1912-1920,Sterling,Ford,G,1912,1920,R:zany comics,Am,,,,,,
Miliza Korjus,1938-1942,Korjus,Miliza,F,1908,1980,R:singer,Po,,,,,,
Harvey Korman,1966-1978,Korman,Harvey,M,1927,199x,R:loud-mouth,Am,,,,,,
Charlie Korsmo,,,,M,[1],199x,RU:,Un,,,,,,
Fritz Kortner,1916-1948,Kohn,Fritz Nathan,M,1892,1970,R:character,Os,,,,,,
Charles Korvin,1944-1959,Kaiser,Geza,M,1907,199x,R:lead,Cz,,,,,,
Sylva Koscina,1960-1970,Koscina,Sylva,F,1935,199x,R:lead,Yu,,,,,,
Martin Kosleck,1939-1970,Yoshkin,Nicolai,M,1907,199x,R:character,Ru,,,,,,
Linda Koslowski),1987,Koslovski,Linda,F,,199x,R:romatic businesswoman,,,,,,,
David Kossoff,1950-1964,Kossoff,David,M,1919,199x,R:character,Br,,,,,,
Sho Kosugi,,,,,[1],199x,RU:,Un,,,,,,
Yaphet Kotto,1968-1983,Kotto,Yaphet,M,1937,199x,R:black character,Am,,,,,,
Nancy Kovack,1960-1969,Kovack,Nancy,F,1935,199x,R:lead,Am,,,,,,
Jeroen Krabbe,1992-1993,Krabbe,Jeroen,M,19aa,199x,R:sr,Ct,,,,,,
Ernie Kovacs,1957-1962,Kovacs,Ernie,M,1919,1962,R:big, cigar-smoking,Am,,,,,
Jeffrey Kramer,,,,M,[1],199x,RU:,Un,,,,,,
Werner Krauss,1916-1959,Krauss,Werner,M,1884,1959,R:distinguished,Ge,,,,,,
Kurt Kreuger,1943-1967,Kreuger,Kurt,M,1917,199x,R:continental heartthrob,Zw,,,,,,
Lisa Kreuzer,,,,F,[1],199x,RU:,Un,,,,,,
Anneline Kriel,,,,F,[1],199x,RU:,Un,,,,,,
Alice Krige,1981-1997,Krige,Alice,F,,199x,R:lead,SA,,,,,,
Sylvia Kristel,1973-1982,Kristel,Sylvia,F,1952,199x,R:lead, nude,Fr,,,,,
Marta Kristen,,,,F,[1],199x,RU:,Un,,,,,,
Kris Kristofferson,1972-1984,Kristofferson,Kris,M,1936,199x,R:lead, singer,Am,,,,,
Joseph Kroner,,,,M,[1],199x,RU:,Un,,,,,,
Alma Kruger,1936-1947,Kruger,Alma,F,1868,1960,R:nurse,Am,,,,,,
Hardy Kruger,1943-1979,Kruger,Hardy,M,1928,199x,R:lead,Ge,,,,,,
Otto Kruger,1932-1964,Kruger,Otto,M,1885,1974,R:suave,Am,,,,,,
Gene Krupa,,,,M,[1,6],199x,R:musician,Am,,,,,
Jack Kruschen,1949-1981,Kruschen,Jack,M,1922,199x,R:character comedian,Am,,,,,,
Vivian Kubrick,,,,F,[1],199x,RU:,Un,,,,,,
Youki Kudoh,1989-1992,Kudoh,Youki,F,1971,199x,R:lively,Ja,,,,,,
Paul Kukas,,,,M,[1],199x,RU:,Un,,,,,,
Nancy Kulp,1952-1981,Kulp,Nancy,F,1919,1991,R:comedy,Am,,,,,,
Cal Kuniholme,,,,M,[1],199x,RU:,Un,,,,,,
Alwyn Kurts,,,,,[1],199x,RU:,Un,,,,,,
Katy Kurtzman,,,,F,[1],199x,RU:,Un,,,,,,
James Kushner,,,,M,[1],199x,RU:,Un,,,,,,
Nancy Kwan,1960-1978,Kwan,Nancy,F,1938,199x,R:exotic,Ch-Br,,,,,,
Burt Kwouk,1964-1982,Kwouk,Burt,M,1930,199x,R:assistant,Ch-Br,,,,,,
Sam Kydd,1945-1966,Kydd,Sam,M,1917,1982,R:character comedian,Br,,,,,,
Machiko Kyo,1950-1958,Kyo,Machiko,F,1924,199x,R:lead,Ja,,,,,,
Kay Kyser,1939-1944,Kyser,Kay,M,1897,199x,R:mild-mannered,Am,,,,,,
David Labiosa,,,,M,[1],199x,RU:,Un,,,,,,
Catherine Lacey,1938-1967,Lacey,Catherine,F,1904,1979,R:sympathetic spinsters, eccentric types,Br,,,,,
Ronald Lacey,1964-1984,,,M,[1],1991,RU:,Un,,,,,,
Taylor Lacher,,,,M,[1],199x,RU:,Un,,,,,,
Stephen Lack,,,,M,[1],199x,RU:,Un,,,,,,
Frank Lackteen,1916-1965,Lackteen,Frank,M,1894,1968,R:character,Am,,,,,,
Denis Lacroix,,,,M,[1],199x,RU:,Un,,,,,,
Jerry Lacy,,,,M,[1],199x,RU:,Un,,,,,,
Alan Ladd,1932-1964,Ladd,Alan,M,1913,1964,R:unsmiling, pint-sized tough-guy,Am,,,,,
Cheryl Ladd,1973-1983,Stoppelmoor,Cheryl,F,1951,199x,R:lead,Am,,,,,,
David Ladd,,,,M,[1],199x,RU:,Un,,,,,,
Diane Ladd,1973-1983,Ladnier,Diane,F,1932,199x,R:lead,Am,,,,,,
Patricia Laffan,1945-1956,Laffan,Patricia,F,1919,199x,RU:,Br,,,,,,
Marcy Lafferty,,,,F,[1],199x,RU:,Un,,,,,,
Bert Lahr,1931-1968,Lahrheim,Irving,M,1895,1967,R:wry-faced vaudeville comedian,Am,,,,,,
Christine Lahti,,,,F,[1],199x,RU:,Un,,,,,,
Gary Lahti,,,,M,[1],199x,RU:,Un,,,,,,
Frankie Laine,1950-1956,LoVecchio,Frank Paul,M,1913,199x,R:pop singer,Am,,,,,,
Jenny Laird,1939-1960,Laird,Jenny,F,1917,199x,R:character,Br,,,,,,
Arthur Lake,1917-1954,Silverlake,Arthur,M,1905,199x,R:harassed, crumpled-faced,Am,,,,,
Veronica Lake,1939-1970,Ockleman,Constance,F,1919,1973,R:petite lead,Am,,,,,,
Barbara LaMarr,1922-1926,LaMarr,Barbara,F,1896,1926,R:lead, silent films,Am,,,,,
Hedy Lamarr,1933-1957,Kiesler,Hedwig,F,1913,199x,R:lead,Os,,,,,,
Fernando Lamas,1951-1978,Lamas,Fernando,M,1915,1982,R:sexy,Ar,,,,,,
Lorenzo Lamas,,,,M,[1],199x,RU:,Un,,,,,,
Gil Lamb,1942-1967,Lamb,Gil,M,1906,199x,R:rubber-boned comic,Am,,,,,,
Christopher Lambert,1984,Lambert,Christopher,M,[1],199x,R:ape man,Am,,,,,,
Constant Lambert,1947-1947,Lambert,Constant,M,1905,1951,R:conductor,Br,,,,,,
Jack Lambert,1936-1966,Lambert,Jack,M,1899,1976,R:character,Br; Scots,,,,,,
Jack Lambert,1943-1963,Lambert,Jack,M,1920,199x,R:evil-eyed heavy character,Am,,,,,,
Paul Lambert,,,,M,[1],199x,RU:,Un,,,,,,
Heath Lamberts,,,,,[1],199x,RU:,Un,,,,,,
Lloyd Lamble,1953-1960,Lamble,Lloyd,M,1914,199x,R:detective, official, other man,Au,,,,
Duncan Lamont,1953-1976,Lamont,Duncan,M,1918,199x,RU:,Br; Scots,,,,,,
Molly Lamont,,,,F,[1],199x,RU:,Un,,,,,,
Dorothy Lamour,1936-1976,Kaumeyer,Dorothy,F,1914,199x,R:good-humoured exotic,Am,,,,,,
Charles Lampkin,,,,M,[1],199x,RU:,Un,,,,,,
Burt Lancaster,1946-1983,Lancaster,Burt,M,1913,1994,R:athletic, lead,Am,,,,,
Karl Lanchbury,,,,M,[1],,RU:,Un,,,,,,
Elsa Lanchester,1928-1976,Sullivan,Elizabeth,F,1902,1986,R:evil,Br,,,,,,
Geoffrey Land,,,,M,[1],199x,RU:,Un,,,,,,
David Landau,1931-1934,Landau,David,M,1878,1935,R:character,Am,,,,,,
Martin Landau,1959-1994,Landau,Martin,M,1933,1998x,R:gaunt,Am,,,,,,
Judy Landers,,,,F,[1],199x,RU:,Un,,,,,,
Elissa Landi,1929-1943,Kuhnelt,Elizabeth,F,1904,1948,R:lead,Os-It,,,,,,
Marla Landi,1957-1965,Landi,Maria,F,1937,199x,R:lead,It,,,,,,
Carole Landis,1937-1948,Ridste,Frances,F,1919,1948,R:lead,Am,,,,,,
Cullen Landis,1917-1924,Landis,Cullen,M,1896,1975,R:hero,Am,,,,,,
Jessie Royce Landis,1955-1959,Medbury,Jessie Royce,F,1904,1972,R:fluttery comedienne,Am,,,,,,
Laurene Landon,,,,,[1],199x,RU:,Un,,,,,,
Michael Landon,1957-1974,Orowitz,Michael,M,1937,1991,R:lead,Am,,,,,,
Valerie Landsburg,,,,F,[1],199x,RU:,Un,,,,,,
Abbe Lane,,,,,[1],199x,RU:,Un,,,,,,
Allan Rocky' Lane,1932-1964,Albershart,Harry,M,1901,1973,R:cowboy star,Am,,,,,,
Charles Lane,1936-1980,Lane,Charles,M,1899,199x,R:character,Am,,,,,,
Diane Lane,1979-1993,Lane,Diane,F,1965,199x,RU:,Un,,,,,,
Jocelyn Lane,1965,,,F,,199x,R:model,Un,,,,,,
Lola Lane,1929-1940,Mulligan,Lola,F,1909,1981,R:lead,Am,,,,,,
Lupino Lane,1922-1939,Lupino,Henry George,M,1892,1959,R:diminutive, dapper,Br,,,,,
Kent Lane,1969,fn,gn,M,[1],199x,R:youth,,,,,,,
Mike Lane,,,,M,[1],199x,RU:,Un,,,,,,
Priscilla Lane,1938-1948,Mulligan,Priscilla,F,1917,199x,R:lead,Am,,,,,,
Rosemary Lane,1938-1945,Mulligan,Rosemary,F,1913,1974,R:lead,Am,,,,,,
Richard Lane,1937-1951,Lane,Richard,M,1900,199x,R:reporter, cop,Un,,,,,
Rusty Lane,1956,Lane,fn,M,,199x,R:busybody,Am,,,,,,
Tom Lane,1997,Lenesky,Tom,M,,199x,R:young,Am,,,,,,
Matheson Lang,1921-1936,Lang,Matheson,M,1879,1948,RU:,Br; Scots,,,,,,
Perry Lang,,,,M,[1],199x,RU:,Un,,,,,,
Robert Lang,1973-1979,Lang,Robert,M,1934,199x,R:character,Br,,,,,,
