H,title,year,director,producer,studio,process code,category code,awards
AWj13,Innocent Sorcerers,1960,D:Wajda,PN:,SU:,prc,Romt,aw
AWj15,The Siberian Lady Macbeth,1961,D:Wajda,PN:,SL:Yu,prc,Dram,aw
AWj16,Samson,1961,D:Wajda,PN:,SU:,prc,Dram,aw
AWj20,Everything for Sale,1967,D:Wajda,PN:,SU:,prc,Ctxx,aw
AWj22,Landscape after Battle,1970,D:Wajda,PN:,SU:,prc,Dram,aw
AWj23,Birch Wood,1970,D:Wajda,PN:,SU:,prc,Romt,aw
AWj25,The Wedding,1972,D:Wajda,PN:,SU:,prc,Ctxx,aw
AWj27,The Promised Land,Wajda,PN:,SU:,prc,Ctxx,aw,"Lodz, Ploand; T(1890)"
AWj29,The Shadow Line,1976,D:Wajda,PN:,St:Thames,TV,Dram,aw
AWj30,Man of Marble,1977,D:Wajda,PN:,SU:,prc,Ctxx,aw
AWj31,Without Anesthesia,1978,D:Wajda,PN:,SU:,prc,Dram,aw
AWj33,The Young Girls of Wilko,1979,D:Wajda,PN:,SU:,prc,Romt,aw
AWj34,Orchestra Conductor,1980,D:Wajda,PN:,SU:,prc,Ctxx,aw
AWj35,Man of Iron,1980,D:Wajda,PN:,SU:,prc,Ctxx,aw
AWj37,Danton,1983,D:Wajda,PN:,St:Gaumont,col,Dram,"H*, BFA"
AWj38,A Love in Germany,1983,D:Wajda,PN:,SU:,col,Docu,
AWj41,The Possessed,1988,D:Wajda,PN:,SU:,col,,
AWj43,Chronicle of a Love Affair,1990,D:Wajda,PN:,SL:Po,col,Romt,
AWj45,Korczak,1990,D:Wajda,PN:,SU:,col,,
AWj46,Crime and Punishment,1990,D:Wajda,PN:,SU:,TV,,
AWj48,Hamlet IV,1991,D:Wajda,PN:,SU:,TV,,
AWj50,The Horse Hair Ring,1992,D:Wajda,PN:,SU:,col,,
GGr1,River Beat,1954,D:Guy Green,PN:,SU:,prc,Ctxx,aw
GGr8,SOS Pacific,1959,D:Guy Green,"P:Sidney Box, John Nash",St:Pinewood,,,H-
GGr9,The Mark,1960,D:Guy Green,PN:,SU:,prc,Ctxx,aw
GGr10,The Angry Silence,1960,D:Guy Green,PN:,SU:,prc,Ctxx,aw
GGr12,Diamond Head,1963,D:Guy Green,PN:,SU:,prc,Ctxx,aw
GGr18,Once is Not Enough,1975,D:Guy Green,P:Koch,St:Paramount,prc,Dram,aw
GSc1,Macbeth,1954,D:x Schaefer,PU:,SU:,TV,Dram,aw
GSc2,Doll's House,1959,D:x Schaefer,PU:,SU:,TV,Dram,aw
GSc3,Victoria Regina,1961,D:x Schaefer,PU:,SU:,TV,BioP,aw
GSc4,Tempest,1963,D:x Schaefer,PU:,SU:,TV,Fant,aw
GSc5,Invincible Mr. Disraeli,1963,D:x Schaefer,PU:,SU:,TV,BioP,aw
GSc6,Holy Terror,1965,D:x Schaefer,PU:,SU:,prc,Dram,aw
GSc8,Barefoot in Athens,1966,D:Schaefer,PU:,SU:,prc,Dram,aw
GSc10,Elizabeth the Queen,1968,D: Schaefer,PU:,SU:,TV,BioP,aw
GSc14,Doctor's Wives,1970,D:Schaefer <,PU:,S:Columbia,col,Porn,aw
GSc17,F. Scott Fitzgerald and the Last of the Belles,1974,D:Schaefer,PU:,SU:,TV,Dram,aw
GSc18,Amelia Earhart,1976,D:Schaefer,PU:,SU:,prc,"TV, BioP",
GSc19,Right of Way,1984,D:Schaefer,PU:,SU:,TV,Dram,
HLS10,Gog,1954,D:Strock,PN:Ivan Tors,St:U.A.,3D,ScFi,aw
HoK5,Big House USA,1954,D:Koch,PN:Aubrey Schenk,St:U.A.,bnw,Actn,
HoK8,The Girl in Black Stockings,1957,D:Koch,PN:,SU:,prc,Ctxx,
HoK10,Frankenstein - 1970,D:1958,D:Koch,PN:,SU:,bnw,Horr,CG*
HoK12,Andy Hardy Comes Home,1958,D:Koch,PN:,St:MGM,bnw,Comd,H
IIl10,The Fast and Furious,1954,D:J.Ireland,P:Corman,St:ARC,bnw,Actn,aw
JAl10,The Vanishing Prarie,1954,D:Algar,PN:,St:Disney,col,"Docu, Cart",aw
JJu10,The Golden Mistress,1954,D:Judge,"PN:Richard Key, Hary Ribnick",St:U.A.,bnw,Advt,aw
JWe1,Dragnet,1954,D:J.Webb,PN:Stanley Meyer,St:Warners,prc,CnR,aw
JWe3,Pete Kelly's Blues,1955,D:J.Webb,P:J.Webb,St:Warners,Wcol,Dram,H*
JWe5,The D.I.,1957,D:J.Webb,P:J.Webb,SU:,prc,Ctxx,aw
JWe6,-30-,1959,D:J.Webb,P:J.Webb,St:Warners,col,CnR,aw
JWe7,The Last Time I Saw Archie,1962,D:J.Webb,P:J.Webb,SU:,prc,Ctxx,aw
JWe12,Dragnet,1966,D:J.Webb,P:J.Webb,SU:,TV,CnR,aw
KoI5,The Heart,1954,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI8,The Punishment Room,1955,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI10,The Burmese Harp,1956,D:Ichikawa,PN:Masuyuki Takagi,St:Nikkatsu,bnw,Dram,H***
KoI15,Odd Obsessions,1958,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI20,Fires on the Plain,1959,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI25,The Sin,1961,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI30,An Actor's Revenge,1963,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI35,Alone in the Pacific,1966,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI40,To Love Again,1971,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI45,The Wanderers,1973,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI50,I am a Cat,1975,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI55,The Inugami Family,1976,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI60,Matababi,1977,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI65,Queen Bee,1978,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI67,Devil's Island,1978,D:Ichikawa,PN:,SU:,,Ctxx,aw
KoI70,The Phoenix,1977,D:Ichikawa,PN:,SU:,,Ctxx,aw
LaB10,The Wild One,1954,D:Benedek,P:St.Kramer,SU:,col,BioP,aw
LaB30,The Evil of Adelaide Winters,1964,D:Benedek,P:Hitchcock,"St:Shamley, CBS","bnw,TV",Susp,
LaB31,Thanatos Palace Hotel,1965,D:Benedek,P:Hitchcock,"St:Shamley, CBS","bnw,TV",Susp,
LNm10,The Night My Number Came Up,1954,D:Norman,PN:Tom Morahan,St:Ealing,bnw,Dram,H*
MT10,Secret Agent,1980,D:Truman,P:Cole,SU:,prc,Ctxx,aw
NKo10,Magic City,1954,D:Koundouros,PN:,SU:,prc,Ctxx,aw
NKo15,Dracos -- The Ogre of Athens,1956,D:Koundouros,PN:,SU:,prc,Dram,aw
NKo25,1922,D:1978,D:Koundouros,PN:,SU:,prc,"Dram, Hist",aw
PeG3,Summer and Smoke,1960,D:Glenville,P:Wallis,St:Paramount,VsVis Tcol?,,H
PeG4,Becket,1964,D:Glenville,P:Wallis,St:Paramount,Tcol,Dram,"H**, AAN, AAN dir"
PeG6,Tm:Hotel Paradiso,1966,D:Glenville,PN:,SU:,col,Romt,CG*
PtF5,Attilo Flagello di Dio,1954,D:Francisci,PN:Georgio Andriani,St:Lux Ponti de Lauretiis,Tcol,Actn,aw
PtF10,Le Fatiche di Ercole,1957,D:Francisci,PN:Federico Teti,St:Kit Parker,Ecol,Actn,aw
SR1,Pather Panchali,1954,D:S.Ray,PN:,SL:India,bnw,Dram,aw
SR15,Aparajito,1956,D:S.Ray,P:S.Ray,St:Epic,bnw,Dram,H***
SR20,Jalsaghar,1958,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR25,Apur Sansar,1959,D:S.Ray,PN:,SL:India,bnw,Dram,aw
SR30,Devi,1960,D:S.Ray,PN:,SL:India,bnw,Dram,aw
SR31,The Postmaster,1961,D:S.Ray,PU:,SU:,prc,Ctxx,
SR32,Samapti,1961,D:S.Ray,PU:,SU:,prc,Ctxx,
SR33,Monihara,1961,D:S.Ray,PU:,SU:,prc,Ctxx,
SR35,Kachenjunga,1962,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR36,Mahangar,1963,D:S.Ray,PN:R.D. Bansai,SL:India,bnw,Dram,H**
SR35,Charulata,1964,D:S.Ray,PU:,SU:,bnw,Dram,
SR36,Kapurush o Mahapurush,1965,D:S.Ray,PU:,SU:,prc,Ctxx,
SR38,The Hero,1966,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR40,The Adventures of Goopy and Bagha,1968,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR45,Aranyer Din Ratri,1969,D:S.Ray,PU:,SU:,prc,Ctxx,
SR45,The Adversary,1971,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR50,Company Limited,1972,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR55,Ashani Sanket,1974,D:S.Ray,PN:,SL:India,prc,Dram,Golden Bear
SR60,Jana Aranya,1976,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR65,The Chess Players,1977,D:S.Ray,PN:,SL:India,prc,Dram,aw
SR80,The Stranger,1992,D:S.Ray,PN:,SL:India,prc,Dram,aw
TKg10,Gate of Hell,1954,D:Kinegusa,PN:,SU:,col,"Dram, Romt",aw
ToT10,"Godzilla, King of the Monsters",1954,D:Tanaka,"P:Honda, Terry Morse",St:Embassy,bnw,ScFi,aw
UsI10,After the Curfew,1954,D:Ismael,PN:,SU:,prc,CTxx,aw
xTu10,Robot Monster,1954,D:Tucker,PN:,SU:,prc,ScFi,aw
YvR3,Men Only Think of That,1954,D:Y.Robert,P:Y.Robert,St:Gaumont,Ecol,Romt,-H
YvR6,Le Grand Blond avec une Chaussure Noire,1972,D:Y.Robert,PN:,St:Gaumont,col,Susp,
YvR10,Courage Fuyons,1979,D:Y.Robert,P:Y.Robert,St:Gaumont,Ecol,Romt,H*
YvR15,My Mother's Castle,1981,D:Y.Robert,PN:,SU:,prc,Ctxx,
YvR16,My Father's Glory,1982,D:Y.Robert,PN:,SU:,prc,Ctxx,
aAS10,The Indiscreet Mrs. Jarvis,1955,D:Alan Smithee,PU:,SU:,prc,Ctxx,
aAS14,Fade In,1968,D:Alan Smithee,PU:Richard E. Lyons,"S""Universal",col,CTxx,H*
aAS18,Dune,1984,D:Alan Smithee,PU:,SU:,col,TV,aw
aAS19,Stitches,1985,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS20,Appointment with Fear,1985,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS21,Let's Get Harry,1986,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS22,Morgan Stewart's Coming Home,199x,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS23,Ghost Fever,1987,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS24,I Love New York,1988,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS25,Starfire,1990,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS26,The Shrimp on the Barbie,1990,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS29,Brother Future,1992,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS30,Boy Meets Girl,1994,D:Alan Smithee,PU:,SU:,col,CTxx,aw
aAS32,Raging Angels,199x,D:Alan Smithee,PU:,SU:,col,CTxx,aw
ABl10,Too Bad She's Bad,1955,D:Blasetti,PN:,SU:,prc,Comd,aw
ASk10,"Music, Poverty, and Pride",1955,D:Sakellarios,PN:,SU:,prc,Ctxx,aw
BE4,This Happy Feeling,1958,D:B.Edwards,PN:Ross Hunter,S:Universal,col,"Romt, Comd",H
BE7,Breakfast at Tiffany's,1961,D:B.Edwards,"PN:Martin Jurow, Richard Shepherd",St:Paramount,Tcol,Comd,H*
BE8,Days of Wine and Roses,1962,D:B.Edwards,PN:Martin Manulia,St:Warners,bnw,"Comd,Dram",H**
BE9,Experiment in Terror,1962,D:B.Edwards,P:B.Edwards,St:Columbia,bnw,Susp,H**
BE10,The Pink Panther,1963,D:B.Edwards,PN:Martin Jurow,St:U.A.,TR,Comd,H**
BE12,The Great Race,1964,D:B.Edwards,"PN:Martin Jurow, B.Edwards",St:Warners,Tcol,"Advt,Comd",H***
BE13,A Shot in the Dark,1964,D:B.Edwards,PN:,SU:,prc,Comd,aw
BE16,The Party,1968,D:B.Edwards,P:B.Edwards,SU:,,Comd,
BE19,Tm:Tamarind Seed,1974,D:B.Edwards,PN:,SU:,prc,Ctxx,aw
BE20,The Return of the Pink Panther,1974,D:B.Edwards,P:B.Edwards,St:U.A.,DeLuxe Pan,Comd,H*
BE21,The Pink Panther Strikes Again,1976,D:B.Edwards,PN:,St:U.A.,,Comd,
BE22,Revenge of the Pink Panther,1978,D:B.Edwards,PN:,St:U.A.,col,Comd,
BE23,10,1979,D:B.Edwards,"P:B.Edwards, Tony Adams","St:Warners, Orion",col,Porn,H
BE30,Tm:S.O.B.,1981,D:B.Edwards,PN:Tony Adams,St:Lorimar,col,Comd,H
BE34,Victor/Victoria,1982,D:B.Edwards,"P:B.Edwards, Tony Adams","St:Pinewood, SD:MGM",Tcol,Musc,"F24,H*"
BE35,Trail of the Pink Panther,1982,D:B.Edwards,"PN:B.Edwards, Tony Admams",St:MGM-U.A.,Tcol,Comd,
BE36,Curse of the Pink Panther,1983,D:B.Edwards,PN:,St:U.A.,col,Comd,H
BE37,The Man Who Loved Women,1983,D:B.Edwards,P:B.Edwards,St:Columbia,Mcol,Comd,
BE41,Skin Deep,1989,D:B.Edwards,PN:,St:Fox,col,Comd,Tcol
BE45,Switch,1991,D:B.Edwards,PN:,St:U.A.,col,Comd,
BE47,Holy Mischief,1992,D:B.Edwards,"P:Blake Edwards, Berry Weitz",SU:,col,Comd,aw
BE50,Son of the Pink Panther,1993,D:B.Edwards,PN:,SU:,col,Comd,
BVS3,Female Jungle,1955,D:VeSota,PN:,SU:,prc,Ctxx,aw
BVS10,The Brain Eaters,1975,D:VeSota,PN:,SU:,prc,Horr,aw
CL1,The Night of the Hunter,1955,D:Laughton,PN:Paul Gregory,St:U.A.,bnw,"Dram,Horr","NFR, H**"
CoW1,Strom Fear,1955,D:C.Wilde,PN:,SU:,prc,Ctxx,aw
CoW2,Maracaibo,1958,D:C.Wilde,PN:,SU:,prc,Ctxx,aw
CoW3,Lancelot and Guinevere,1963,D:C.Wilde,PN:,SL:GB,Ecol,Dram,H*
CoW5,Beach Red,1967,D:C.Wilde,P:C.Wilde,St:U.A.,Tcol,Dram,H*
CoW6,No Blade of Grass,1971,D:C.Wilde,PN:,SU:,prc,Ctxx,aw
CoW7,Shark's Treasure,1975,D:C.Wilde,PN:,SU:,prc,Ctxx,aw
CSG10,Jungle Moon Men,1955,D:Gould,PN:Sam Katzman,St:Columbia,bnw,Advt,
DeM1,Marty,1955,D:Del.Mann,P:Hecht,St:U.A.,bnw,Dram,"AA, AA dir, H****"
DeM2,The Bachelor Party,1957,D:Del.Mann,PN:Harold Hecht,St:U.A.,bnw,,H***
DeM4,Desire Under the Elms,1958,D:Del.Mann,PN:Don Hartman,St:Paramount,VsVis,Dram,H
DeM6,The Dark at the Top of the Stairs,1960,D:Del.Mann,PN:,SU:,prc,Ctxx,aw
DeM8,Lover Come Back,1961,D:Del.Mann,"PN:Stanley Shapiro, Marty Melcher",St:U-I,Ecol,Comd,"F52, H**"
DeM10,That Touch of Mink,1962,D:Del.Mann,"PN:Stanley Shapiro, Martin Melcher",S:U.I.,Ecol,Romt,H**
DeM17,Tm:Night Crossing,1980,D:Del.Mann,PN:Tom Leetch,St:Disney,Tcol,Dram,H
DeM20,Separate Tables,1983,D:Del.Mann,PN:Harold Hecht,St:U.A.,,,"AAN, H**"
DM100,Triggers in Leash,1955,D:Medford,P:Hitchcock,"St:Shamley, CBS","bnw,TV",Susp,
DM101,The Vanishing Lady,1955,D:Medford,P:Hitchcock,"St:Shamley, CBS","bnw,TV",Susp,
DM200,To Trap a Spy,1965,D:Medford,PN:,St:MGM,col,Advt,
DM230,The Organization,1971,D:Medford,PN:Walter Mirrisch,St:U.A.,DeLuxe,Advt,H
GFj10,I Married a Monster From Outer Space,1958,D:Fowler,PN:,St:Paramount,bnw,ScFi,aw
GFj15,I Was a Teenage Werewolf,1957,D:Fowler,PN:Herman Cohen,St:AIP,-w,"Comd,Horr",H
GFj20,The Rebel Set,1959,D:Fowler,PN:,St:Allied Artists,prc,CTxx,aw
GTz3,Counterfeit Coin,1955,D:Tzavellas,PN:,SU:,prc,Dram,aw
GTz10,Antigone,1961,D:Tzavellas,PN:,SU:,prc,Dram,aw
HeH10,The Bar Sinister,1955,D:H.Hoffman,P:Berman,St:MGM,EcolCS,Comd,H
HeH12,The Invisible Boy,1957,D:H.Hoffman,PN:Nicholas Nyfack,St:MGM,col,ScFi,
HLu10,Lady and the Tramp,1955,D:Luske,PN:Erdmann Penner,St:Disney,TcolCS,Cart,H**
HVe10,Les Amants du Tage,1955,D:Verneuil,PN:,SU:,prc,Ctxx,aw
HWo1,Drei von der Tankstelle,1955,D:Wolff,PN:,SL:Germany,,Romt,
InA10,Animal World,1955,D:I.Allen,P:I.Allen,St:Warners,Tcol,ScFi,
InA15,The Story of Mankind,1957,D:I.Allen,PN:I.Allen,St:Warners,Tcol,,"H, W50"
InA28,Voyage to the Bottom of the Sea,1961,D:I.Allen,P:I.Allen,St:Fox,col,Advt,aw
InA30,Five Weeks in a Ballon,1962,D:I.Allen,P:I.Allen,St:Fox,col,Advt,aw
InA50,Tm:The Swarm,1978,D:I.Allen,PN:,SU:,prc,Ctxx,aw
IPa10,Dementia,1955,D:J.Parker,P:J.Parker,"St:VanWolf,API",bnw,"Horr,Fant",aw
JCn1,The Bespoke Overcoat,1956,D:Clayton,P:Clayton,St:Remus,bnw,Dram,H**
JCn2,Room at The Top,1958,D:Clayton,P:Clayton,SU:,prc,Ctxx,aw
JCn3,The Innocents,1961,D:Clayton,P:Clayton,St:Fox,bnwCS,Susp,H**
JCn4,The Pumpkin Eater,1964,D:Clayton,P:Clayton,SU:,prc,Ctxx,aw
JCn6,The Great Gatsby,1974,D:Clayton,PN:David Merrick,St:Paramount,Ecol,Myst,H**
JCn20,Something Wicked This Way Comes,1983,D:Clayton,PN:Peter Vincent Douglas,St:Disney,Tcol,Fant,H
JuA100,Salvage,1955,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
JuA101,A Bullet for Baldwin,1956,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
JuA102,Safe Conduct,1956,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
JuA103,Nightmare in 4-D,1957,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
JuA104,The Night the World Ended,1957,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
JuA105,"Martha Mason, Movie Star",1957,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
JuA106,The West Warlock Time Capsule,1957,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
JuA107,The Indestructible Mr. Weems,1957,D:Addis,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
MvS1,The Seven Little Foys,1955,D:Shavelson,PN:Jack Rose,St:Paramount,Tcol,Comd,H*
MvS2,Beau James,1957,D:Shavelson,PN:Jack Rose,St:Paramount,Tcol,BioP,H*
MvS3,Houseboat,1958,D:Shavelson,PN:Jack Rose,St:Paramount,Tcol,"Romt, Comd",H
MvS4,The Five Pennies,1959,D:Shavelson,P:Jack Rose,SParamount:,Tcol,"BioP, Musc, Romt",H*
MvS6,On the Double,1961,D:Shavelson,PN:Jack Rose,St:Paramount,Tcol,Comd,H*
MvS10,The Pigeon That Took Rome,1962,D:Shavelson,P:Shavelson,St:Paramount,bnw,Comd,H
MvS12,A New Kind of Love,1963,D:Shavelson,P:Shavelson,St:Paramount,Tcol,"Romt,Comd",H
NPa3,The Court Jester,1956,D:Panama,"P:Frank, Panama",St:Paramount,Tcol,Comd,"F61, H***"
NPa10,The Maltese Bippy,1969,D:Panama,PN:,SU:,prc,Ctxx,aw
NPa20,"Coffee, Tea, or Me?",1973,D:Panama,,,TV,Comd,aw
NPS10,Rio 40 Gauss,1955,D:dosSantos,PN:,SU:,prc,Dram,aw
NPS15,Vidas Secas,1963,D:dosSantos,PN:,SU:,prc,Dram,aw
NPS20,Fome de Amor,1968,D:dosSantos,PN:,SU:,prc,Dram,aw
NPS25,Como era Gostoso o Meu Frances,1971,D:dosSantos,PN:,SU:,prc,Dram,aw
PhD1,Prince of Players,1955,D:Ph.Dunne,PN:,SU:,prc,Ctxx,aw
PhD2,A View from Pompey's Head,1955,D:Ph.Dunne,P:Ph.Dunne,St:Fox,"Ecol, CS",CRomt,H*
PhD5,Ten North Frederick,1958,D:Ph.Dunne,P:Brackett,St:Fox,bnw CS,Romt,H*
PhD9,Tm:Wild in the Country,1961,D:Ph.Dunne,PN:Jerry Wald,St:Fox,DeLuxe,Musc,H
PhD10,Lisa,1962,D:Ph.Dunne,PN:,SU:,prc,Ctxx,aw
PhD15,Blindfold,1966,D:Ph.Dunne,PN:,SU:,prc,Ctxx,aw
RAl1,The Delinquents,1955,D:Altman,P:,SU:,prc,Dram,aw
RAl5,The James Dean Story,1957,D:Altman,P:Altman,SU:,prc,BioP,aw
RAl20,The Young One,1957,D:Altman,"P:Hitchcock, Harrison","St:Shamley, CBS","bnw,TV",Susp,
RAl21,Together,1958,D:Altman,P:Hitchcock,"St:Shamley, CBS","bnw,TV",Susp,
RAl50,Countdown,1968,D:Altman,PN:,SU:,"col, CS","Dram,ScFi",
RAl55,The Happy Ending,1969,D:Altman,P:Altman,St:U.A.,Tcol,Dram,H*
RAl56,M*A*S*H,1970,D:Altman,PN:Ingo Preminger,St:Fox,DeLuxe,Comd,"F34, Palm, NSFC1970, H***, AAN, AAN dir, Z*"
RAl62,Brewster McCloud,1971,D:Altman,P:LouAdler,St:Paramount,Mcol,Fant,H
RAl68,McCabe and Mrs. Miller,1971,D:Altman,"P:D.Foster, Mitchell Brower",St:Warners,Tcol,Comd,H
RAl69,Images,1972,D:Altman,PN:,SU:,,Dram,
RAl70,The Long Goodbye,1973,D:Altman,PN:Elliott Kastner,SU:,,Susp,RE***
RAl71,Thieves Like Us,1973,D:Altman,PN:Robert Eggenwiler,St:U.A.,DeLuxe,Dram,H*
RAl72,California Split,1974,D:Altman,"PN:Altman, Joseph Walsh",St:Columbia,Mcol,Comd,H*
RAl73,Nashville,1975,D:Altman,PN:Martin Starger,St:Paramount,Mcol,Musc,"NFR, H**"
RAl74,"Tm:Buffalo Bill and the Indians, or Sitting Bull's History Lesson",1976,D:Altman,P:Altman,St:U.A.,col,West,H
RAl75,3 Women,1978,D:Altman,PN:,SU:,prc,Fant,aw
RAl76,A Wedding,1978,D:Altman,P:Altman,SU:,prc,Comd,aw
RAl80,Popeye,1980,D:Altman,PN:,SU:,prc,Ctxx,aw
RAl85,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1982,D:Altman,PN:Mark Goodman,St:Sandcastle 5,DuArt,,
RAl87,Streamers,1983,D:Altman,PN:Daniel Meknick,SU:,Mlab,Drama,"H, GC***"
RAl88,Secret Honor,1984,D:Altman,PN:,St:Sandcastle 5,col,BioP,
RAl90,Vincent and Theo,1990,D:Altman,PN:,SU:,col,BioP,aw
RAl93,The Player,1992,D:Altman,PN:,St:EIM,col,Noir,AAN dir
RAl95,Short Cuts,1993,D:Altman,PN:,SU:,col,Noir,AAN dir
RAl98,Ready to Wear,1994,D:Altman,PN:,SU:,col,Comd,
RAl101,The Gingerbread Man,1997,D:Altman,PU:,SU:,prc,Dram,
RAl104,Cookie's Fortune,1999,D:Altman,"PN:Altman, Etchie Stroh","St:Sandcastle, SD:October",col,Comd,
RbG10,It Came from beneath the Sea,1955,D:Rbt.Gordon,PN:Charles H. Schneer,St:Columbia,bnw,ScFi,
RCo3,Swamp Women,1955,D:Corman,PN:Bernard Woolner,St:AIP,prc,Advt,W50
RCo4,It Conquered the World,1955,D:Corman,PN:Bernard Woolner,St:AIP,prc,ScFi,
RCo9,Cry Baby Killer,1957,D:Corman,P:Corman,SU:,prc,Ctxx,aw
RCo10,Not of This Earth,1957,D:Corman,P:Corman,SU:,prc,Ctxx,aw
RCo11,Attack of the Crab Monster,1957,D:Corman,P:Corman,St:Allied Artists,prc,ScFi,aw
RCo13,Tm:Carnival Rock,1957,D:Corman,P:Corman,SU:,prc,Ctxx,aw
RCo14,Machine Gun Kelly,1958,D:Corman,P:Corman,St:AIP,bnw,Actn,aw
RCo15,"I, Mobster",1958,D:Corman,"P:Corman, Gene Corman",St:Fox,bnw,Actn,aw
RCo23,The Wasp Woman,1959,D:Corman,P:Corman,St:Allied,bnw,Horr,aw
RCo24,A Bucket of Blood,1959,D:Corman,P:Corman,St:AIP,bnw,"Horr,Comd",aw
RCo26,House of Usher,1960,D:Corman,P:Corman,St:AIP,Ecol,Horr,H*
RCo27,The Little Shop of Horrors,1960,D:Corman,P:Corman,St:Filmgroup,bnw,Horr,
RCo30,The Pit and the Pendulum,1961,D:Corman,P:Corman,St:AIP,Pathecol,Horr,H*
RCo32,The Premature Burial,1962,D:Corman,P:Corman,SU:,,Horr,
RCo33,The Intruder,1962,D:Corman,P:Corman,SU:,prc,Ctxx,aw
RCo34,Tales of Terror,1962,D:Corman,"P:Corman, Joyce Janis",St:AIP,Pathecol,Horr,
RCo35,Tower of London,1962,D:Corman,PN:Gene Corman,St:U.A.,bnw,Hist,aw
RCo36,The Raven,1963,D:Corman,P:Corman,St:AIP,Pathecolor,Fant,H*
RCo37,The Terror,1963,D:Corman,P:Corman,SU:,,Horr,
RCo38,The Haunted Palace,1963,D:Corman,P:Corman,"St:AIP,HBO",col,Horr,
RCo41,The Masque of the Red Death,1964,D:Corman,P:Corman,SU:,,Horr,
RCo43,The Tomb of Ligeia,1965,D:Corman,P:Corman,St:AIP,EcolCS,Horr,
RCo44,The Wild Angels,1966,D:Corman,P:Corman,St:AIP,col,Actn,aw
RCo45,The St. Valentine's Day Massacre,1967,D:Corman,P:Corman,SU:,prc,Ctxx,aw
RCo46,Tm:The Trip,1967,D:Corman,PN:,SU:,prc,Ctxx,aw
RCo47,Bloody Mama,1970,D:Corman,P:Corman,St:AIP,col,Horr,
RCo48,Gas-s-s!,1970,D:Corman,PN:,St:AIP,,Horr,
RCo49,von Richthoven and Brown,1971,D:Corman,P:Corman,St:U.A.,prc,Ctxx,aw
RCo60,Streetwalkin',1980,D:Corman,P:Corman,SU:,,Porn,
RCo70,Watchers II,1987,D:Corman,P:,SU:,,Horr,
RGt10,Komal Gandhar,1964,D:Ghatak,PU:,SU:,prc,Ctxx,
RGt15,Subarnarekha,1965,D:Ghatak,PU:,SU:,prc,Ctxx,
RMl1,A Man Alone,1955,D:Milland,P:,St:Republic,Trucolor,West,H
RSt100,Premonition,1955,D:R.Stevens,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
RSt101,Our Cook's a Treasure,1955,D:R.Stevens,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
RSt102,Guilty Witness,1955,D:R.Stevens,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
RSt103,The Cheney Vase,1955,D:R.Stevens,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
RSt104,You Got to Have Luck,1956,D:R.Stevens,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
RSt105,The Older Sister,1956,D:R.Stevens,P:Hitchcock,"St:Shamley,CBS","bnw,TV",Susp,
